idx,lat,long
2925,29.069018,-90.02222222
2924,30.425224,-90.63893
2919,29.103167,-90.161128
2918,30.279397,-89.784081
2917,29.634244,-90.513075
2916,29.901861,-90.960136
2915,29.893044,-90.958942
2914,29.77575,-92.993222
2910,29.088208,-90.751036
2909,29.832944,-91.990569
2908,29.296538,-91.003044
2907,29.92144,-90.19503
2906,30.15780556,-93.25030556
2905,30.757939,-91.620726
2904,35.47138889,-89.58539444
2903,29.5914,-90.4661
2900,29.82699722,-90.912325
2899,29.47825833,-90.74919444
2896,29.41521667,-90.4997
2895,30.01085556,-90.40018889
2894,30.564501,-90.943301
2893,30.20742,-93.24039
2892,30.58063,-90.46933
2891,29.62463,-89.93812
2890,29.249344,-90.663308
2889,30.20742,-93.24039
2888,30.160008,-93.326394
2887,29.57347222,-90.712
2886,30.27731944,-90.81298333
2885,29.80629444,-91.33479722
2883,29.57161111,-92.21669167
2882,29.78611111,-93.06944444
2880,29.98850278,-93.05395556
2879,29.29654722,-91.00306389
2878,30.06302778,-93.35351389
2877,29.95331667,-90.16281389
2876,29.61833333,-89.80916667
2875,29.99472222,-91.44444444
2874,29.64094444,-91.11592222
2873,30.135341,-91.003596
2872,30.5039975,-90.21901056
2871,29.305489,-90.647222
2870,30.23145833,-90.95652222
2869,29.707222,-91.217778
2868,30.461503,-90.042049
2867,29.768406,-89.7894
2866,30.06166667,-93.35972222
2865,29.21079722,-90.03271111
2864,29.30541944,-90.64741667
2863,30.559172,-90.926555
2862,30.15138889,-93.56111111
2861,30.05891944,-90.97511111
2853,29.70722222,-91.21777778
2852,29.45483333,-90.12391389
2851,29.97189722,-90.30816944
2850,29.41914167,-90.20686111
2849,28.81627472,-89.78442194
2848,30.308888,-90.605833
2847,29.75863,-89.78526
2846,30.57502,-92.96238
2845,29.35133333,-90.62666667
2843,30.00660278,-90.28027222
2842,29.40306944,-91.19536944
2841,29.23366667,-90.00105833
2833,30.36109722,-90.08418611
2832,29.26465556,-90.96054444
2831,30.12883611,-89.22616111
2830,29.37063333,-90.91790278
2829,29.648472,-92.410667
2828,30.17308,-90.93909
2827,30.2909648,-93.250087
2826,29.210797,-90.032711
2825,29.70421944,-90.70606389
2824,29.99929444,-90.39141111
2823,29.85365,-93.05568333
2822,29.69293333,-91.37554444
2817,29.43408056,-89.52704167
2816,29.886613,-91.206416
2815,30.259167,-90.686389
2814,29.06717,-90.32224
2813,29.923169,-91.837506
2812,30.06173,-90.63511
2811,29.32671111,-89.60050833
2810,29.61277778,-90.87638889
2809,29.23906667,-89.36290278
2808,29.83853889,-92.30700278
2807,29.43633611,-90.55585833
2806,29.66166667,-92.22578333
2805,29.71308611,-90.63400833
2804,30.015278,-90.475556
2803,30.407233,-90.945731
2802,30.53859,-91.03181
2801,27.83985778,-93.32188583
2800,28.42831417,-91.46144111
2799,30.05913694,-89.99361472
2798,29.60669444,-89.77374722
2797,30.01472778,-90.40512222
2796,30.11703333,-90.76005556
2795,28.99941111,-89.39158889
2791,29.34426944,-90.24725556
2790,29.32692778,-89.31179444
2789,29.676919,-89.801079
2788,29.70378,-90.10567
2787,30.479833,-90.862719
2786,30.392612,-91.116982
2785,29.21309,-90.02903
2784,29.83767222,-93.17847222
2783,30.36793333,-90.12026111
2782,29.68871111,-90.09936111
2781,29.90578333,-91.68400278
2780,29.16494444,-90.208
2779,29.59941667,-89.55344444
2778,29.59825,-89.57008333
2777,29.57472222,-90.39277778
2776,29.38855556,-90.802525
2775,30.283,-90.73730833
2769,29.88823611,-90.14019167
2768,30.35699167,-90.27619167
2767,30.06530278,-93.34970278
2766,29.65525278,-90.76688889
2765,30.04299722,-90.95086944
2764,30.025956,-90.832591
2763,29.813494,-91.550747
2762,30.2169,-93.346
2761,30.434835,-90.150242
2760,29.86659444,-90.06906111
2759,30.50778,-91.201
2757,29.91194444,-91.22666667
2756,29.58094444,-90.05877222
2755,29.49851944,-90.55435556
2754,29.8,-92.70927778
2749,29.83638889,-92.08111111
2748,29.67305,-90.1105
2747,30.19528,-93.29278
2746,30.25255,-90.77877
2745,29.415214,-90.604786
2744,28.60283639,-91.88758778
2743,29.498519,-90.554355
2742,30.4747,-91.1999
2741,29.598755,-90.66638
2740,30.324067,-93.212219
2739,29.88368056,-91.07440833
2738,30.4397,-90.3373
2737,29.66986667,-90.10913056
2736,30.06120278,-93.29183333
2735,29.83120556,-89.96018056
2734,29.37407778,-89.36883889
2733,29.57852778,-89.11658333
2732,29.67306389,-90.11053889
2731,29.63542778,-90.46191944
2730,29.78958611,-93.75058611
2729,29.10623611,-89.28836944
2728,29.42434722,-90.60099722
